岗位id,公司名,岗位名,公司类型,公司人数,工资,JD简介,岗位地址,投递结果
56553160,上海辰锐信息科技公司,高级Java软件工程师,国企,150-500人,1.3-2.6万/月,"['上海-浦东新区', '5-7年经验', '本科', '招1人']",https://jobs.51job.com/shanghai-pdxq/56553160.html?s=sou_sou_soulb&t=1_0,已申请！
97660564,甘棠软件系统（上海）有限公司,Java中级开发工程师,民营公司,50-150人,1.2-2.2万/月,"['上海-浦东新区', '3-4年经验', '本科', '招3人']",https://jobs.51job.com/shanghai-pdxq/97660564.html?s=sou_sou_soulb&t=5_0,已申请！
112285319,“前程无忧”51job.com（上海）,Java开发工程师,外资（非欧美）,1000-5000人,1.5-3万/月,"['上海', '1年经验', '本科', '招若干人']",https://51rz.51job.com/job.html?jobid=112285319,已申请！
126745830,光大证券股份有限公司,软件开发工程师-后端开发Java(J10669),国企,5000-10000人,1.5-2万/月,"['上海-静安区', '3-4年经验', '硕士', '招若干人']",https://jobs.51job.com/shanghai-jaq/126745830.html?s=sou_sou_soulb&t=0_0,已申请！
121957403,德威国际货运代理（上海）有限公司,Java开发工程师,合资,500-1000人,1.2-2万/月,"['上海-黄浦区', '2年经验', '本科', '招1人']",https://jobs.51job.com/shanghai-hpq/121957403.html?s=sou_sou_soulb&t=0_0,已申请！
138716920,盛趣信息技术（上海）有限公司,Java高级工程师,民营公司,1000-5000人,2-3万/月,"['上海-浦东新区', '无需经验', '本科', '招若干人']",https://jobs.51job.com/shanghai-pdxq/138716920.html?s=sou_sou_soulb&t=0_0,已申请！
137996137,亚士创能科技（上海）股份有限公司,Java开发主管（青浦区）,上市公司,1000-5000人,42-55万/年,"['上海-青浦区', '5-7年经验', '本科', '招1人']",https://jobs.51job.com/shanghai-qpq/137996137.html?s=sou_sou_soulb&t=0_0,已申请！
133052517,上海纵游网络技术有限公司,JAVA架构师,外资（非欧美）,150-500人,4.5-5万/月,"['上海', '8-9年经验', '本科', '招1人']",https://jobs.51job.com/shanghai/133052517.html?s=sou_sou_soulb&t=0_0,已申请！
138438709,上海捷泰慧信息技术有限公司,Java中级开发工程师,民营公司,50-150人,1.5-2万/月,"['上海-浦东新区', '3-4年经验', '本科', '招5人']",https://jobs.51job.com/shanghai-pdxq/138438709.html?s=sou_sou_soulb&t=0_0,已申请！
134707325,上海华立软件系统有限公司,Java开发工程师,民营公司,少于50人,1-1.5万/月,"['上海', '1年经验', '本科', '招5人']",https://jobs.51job.com/shanghai/134707325.html?s=sou_sou_soulb&t=0_0,已申请！
138747691,上海复深蓝软件股份有限公司,中高级JAVA（spring cloud）965/双休-026,上市公司,1000-5000人,1.5-2.5万/月,"['上海', '5-7年经验', '大专', '招5人']",https://jobs.51job.com/shanghai/138747691.html?s=sou_sou_soulb&t=0_0,已申请！
130747566,万得深圳公司（创真科技）,Java开发工程师（TJ0002）,民营公司,150-500人,1.5-3万/月,"['上海', '5-7年经验', '本科', '招5人']",https://jobs.51job.com/shanghai/130747566.html?s=sou_sou_soulb&t=0_0,已申请！
131738285,万得信息技术股份有限公司（Wind资讯）,Java开发工程师（TJ0002）,民营公司,1000-5000人,1.5-3万/月,"['上海', '5-7年经验', '本科', '招10人']",https://jobs.51job.com/shanghai/131738285.html?s=sou_sou_soulb&t=0_0,已申请！
136906223,万得信息技术股份有限公司,JAVA软件工程师（TJ0003）,民营公司,1000-5000人,20-40万/年,"['上海', '3-4年经验', '本科', '招若干人']",https://jobs.51job.com/shanghai/136906223.html?s=sou_sou_soulb&t=0_0,已申请！
131317627,华广生物科技(深圳)有限公司,Java 软件工程师,外资（非欧美）,500-1000人,6-8千/月,"['上海-徐汇区', '1年经验', '本科', '招5人']",https://jobs.51job.com/shanghai-xhq/131317627.html?s=sou_sou_soulb&t=0_0,已申请！
129202544,吉本软件（上海）有限公司,国内java工程师,外资（非欧美）,50-150人,1.5-2万/月,"['上海', '5-7年经验', '本科', '招若干人']",https://jobs.51job.com/shanghai/129202544.html?s=sou_sou_soulb&t=0_0,已申请！
138374921,上海安硕信息技术股份有限公司,Java开发工程师,上市公司,1000-5000人,1.3-1.8万/月,"['上海-浦东新区', '2年经验', '本科', '招若干人']",https://jobs.51job.com/shanghai-pdxq/138374921.html?s=sou_sou_soulb&t=0_0,已申请！
138746528,上海科络达云软件技术有限公司,Java 软件开发工程师,民营公司,50-150人,1-2万/月,"['上海-徐汇区', '3-4年经验', '大专', '招2人']",https://jobs.51job.com/shanghai-xhq/138746528.html?s=sou_sou_soulb&t=0_0,已申请！
128442717,上海联泰科技股份有限公司,Java开发工程师,合资,150-500人,2-2.5万/月,"['上海-徐汇区', '3-4年经验', '本科', '招若干人']",https://jobs.51job.com/shanghai-xhq/128442717.html?s=sou_sou_soulb&t=0_0,已申请！
137922031,北京达美盛软件股份有限公司,Java中级开发工程师,民营公司,150-500人,1.5-2.5万/月,"['上海', '3-4年经验', '大专', '招1人']",https://jobs.51job.com/shanghai/137922031.html?s=sou_sou_soulb&t=0_0,已申请！
135188483,上海智聆信息技术有限公司,Java开发工程师,民营公司,少于50人,0.8-1.2万/月,"['上海-松江区', '1年经验', '本科', '招4人']",https://jobs.51job.com/shanghai-sjq/135188483.html?s=sou_sou_soulb&t=0_0,已申请！
79451749,上海金指软件技术有限公司,Java高级开发工程师（金融行业）,民营公司,50-150人,1.5-2.2万/月,"['上海-浦东新区', '5-7年经验', '本科', '招8人']",https://jobs.51job.com/shanghai-pdxq/79451749.html?s=sou_sou_soulb&t=0_0,已申请！
102334414,上海新致软件股份有限公司,java软件开发工程师（金融行业),合资,1000-5000人,1.3-2万/月,"['上海-浦东新区', '2年经验', '本科', '招6人']",https://jobs.51job.com/shanghai-pdxq/102334414.html?s=sou_sou_soulb&t=0_0,已申请！
138745002,创业慧康科技股份有限公司,Java开发工程师(DRG&DIP院端应用创新部）,上市公司,1000-5000人,1.5-2万/月,"['上海-闵行区', '3-4年经验', '本科', '招1人']",https://jobs.51job.com/shanghai-mhq/138745002.html?s=sou_sou_soulb&t=0_0,已申请！
138744631,上海数慧系统技术有限公司,JAVA开发工程师G00242,民营公司,150-500人,0.7-1.2万/月,"['上海', '无需经验', '本科', '招1人']",https://jobs.51job.com/shanghai/138744631.html?s=sou_sou_soulb&t=0_0,已申请！
138743608,上海奥拓翰明计算机科技有限公司,Java开发（上海）,民营公司,150-500人,0.7-1万/月,"['上海-静安区', '1年经验', '大专', '招3人']",https://jobs.51job.com/shanghai-jaq/138743608.html?s=sou_sou_soulb&t=0_0,已申请！
138462581,沅航信息技术（上海）有限公司,Java开发工程师,民营公司,少于50人,1.5-2万/月,"['上海-杨浦区', '2年经验', '本科', '招2人']",https://jobs.51job.com/shanghai-ypq/138462581.html?s=sou_sou_soulb&t=0_0,已申请！
110575920,江苏达海智能系统股份有限公司,Java中高级开发工程师,上市公司,150-500人,2.5-3万/月,"['上海-杨浦区', '3-4年经验', '本科', '招2人']",https://jobs.51job.com/shanghai-ypq/110575920.html?s=sou_sou_soulb&t=0_0,已申请！
85266320,上海盖讯信息技术有限公司,Java软件工程师,民营公司,50-150人,0.4-1万/月,"['上海', '1年经验', '大专', '招若干人']",https://jobs.51job.com/shanghai/85266320.html?s=sou_sou_soulb&t=0_0,已申请！
105387545,上海环莘电子科技有限公司,高级java工程师,民营公司,少于50人,1.5-2.5万/月,"['上海-徐汇区', '5-7年经验', '大专', '招若干人']",https://jobs.51job.com/shanghai-xhq/105387545.html?s=sou_sou_soulb&t=0_0,已申请！
87343431,上海凯融信息科技有限公司,Java高级开发工程师,外资（欧美）,150-500人,1.3-2万/月,"['上海-普陀区', '3-4年经验', '本科', '招3人']",https://jobs.51job.com/shanghai-ptq/87343431.html?s=sou_sou_soulb&t=0_0,已申请！
134863171,上海砾阳软件有限公司,Java开发工程师（中高级）,民营公司,150-500人,1.5-2.2万/月,"['上海-浦东新区', '3-4年经验', '本科', '招10人']",https://jobs.51job.com/shanghai-pdxq/134863171.html?s=sou_sou_soulb&t=0_0,已申请！
132444337,上海欧比爱思晟峰软件有限公司,JAVA 开发工程师,民营公司,,1-1.5万/月,"['上海-浦东新区', '2年经验', '本科', '招2人']",https://jobs.51job.com/shanghai-pdxq/132444337.html?s=sou_sou_soulb&t=0_0,已申请！
129392287,上海东建科技发展有限公司,Java中级开发工程师,民营公司,50-150人,15-20万/年,"['上海', '5-7年经验', '本科', '招5人']",https://jobs.51job.com/shanghai/129392287.html?s=sou_sou_soulb&t=0_0,已申请！
134543833,上海西弗瑞环境科技有限公司,Java开发工程师,民营公司,50-150人,1.8-2.5万/月,"['上海-虹口区', '3-4年经验', '大专', '招1人']",https://jobs.51job.com/shanghai-hkq/134543833.html?s=sou_sou_soulb&t=0_0,已申请！
138739321,河姆渡电子商务有限公司,JAVA研发总监,民营公司,500-1000人,3.5-5万/月,"['上海-浦东新区', '5-7年经验', '本科', '招1人']",https://jobs.51job.com/shanghai-pdxq/138739321.html?s=sou_sou_soulb&t=0_0,已申请！
138632810,上海韦晴软件科技有限公司,Java高级开发工程师,民营公司,50-150人,1.5-2万/月,"['上海-浦东新区', '5-7年经验', '本科', '招2人']",https://jobs.51job.com/shanghai-pdxq/138632810.html?s=sou_sou_soulb&t=0_0,已申请！
126647384,上海高清数字科技产业有限公司,高级Java软件工程师,国企,50-150人,1.5-1.8万/月,"['上海', '2年经验', '本科', '招1人']",https://jobs.51job.com/shanghai/126647384.html?s=sou_sou_soulb&t=0_0,已申请！
